1	的	744863	7.7946	7.7946
2	了	130191	1.3624	9.157
3	在	118823	1.2434	10.4004
4	是	118527	1.2403	11.6407
5	和	83958	0.8786	12.5193
6	一	81119	0.8489	13.3682
7	这	65146	0.6817	14.0499
8	有	53556	0.5604	14.6103
9	他	52912	0.5537	15.164
10	我	52728	0.5518	15.7158
11	也	47908	0.5013	16.2171
12	不	46965	0.4915	16.7086
13	就	44947	0.4703	17.1789
14	地	42332	0.443	17.6219
15	着	41116	0.4303	18.0522
16	中	40849	0.4275	18.4797
17	上	38084	0.3985	18.8782
18	说	35429	0.3707	19.2489
19	都	34323	0.3592	19.6081
20	人	33991	0.3557	19.9638
21	个	31512	0.3298	20.2936
22	对	30936	0.3237	20.6173
23	种	30123	0.3152	20.9325
24	把	29749	0.3113	21.2438
25	为	29265	0.3062	21.55
26	要	29039	0.3039	21.8539
27	你	28769	0.3011	22.155
28	而	28404	0.2972	22.4522
29	来	28038	0.2934	22.7456
30	我们	26823	0.2807	23.0263
31	又	25715	0.2691	23.2954
32	一个	24807	0.2596	23.555
33	与	23823	0.2493	23.8043
34	从	23749	0.2485	24.0528
35	年	22029	0.2305	24.2833
36	到	21744	0.2275	24.5108
37	还	21148	0.2213	24.7321
38	它	21041	0.2202	24.9523
39	大	20907	0.2188	25.1711
40	等	20210	0.2115	25.3826
41	她	19915	0.2084	25.591
42	两	19539	0.2045	25.7955
43	去	18963	0.1984	25.9939
44	没有	18950	0.1983	26.1922
45	里	18805	0.1968	26.389
46	得	18698	0.1957	26.5847
47	时	18257	0.191	26.7757
48	多	18064	0.189	26.9647
49	他们	17787	0.1861	27.1508
50	发展	17331	0.1814	27.3322
51	用	17259	0.1806	27.5128
52	那	17198	0.18	27.6928
53	以	17181	0.1798	27.8726
54	所	17101	0.179	28.0516
55	很	16774	0.1755	28.2271
56	可以	16734	0.1751	28.4022
57	使	16571	0.1734	28.5756
58	但	15963	0.167	28.7426
59	自己	14793	0.1548	28.8974
60	小	14509	0.1518	29.0492
61	之	14428	0.151	29.2002
62	能	14413	0.1508	29.351
63	下	14051	0.147	29.498
64	或	13918	0.1456	29.6436
65	看	13758	0.144	29.7876
66	就是	13715	0.1435	29.9311
67	被	13624	0.1426	30.0737
68	什么	13589	0.1422	30.2159
69	三	13220	0.1383	30.3542
70	这个	13202	0.1382	30.4924
71	会	12996	0.136	30.6284
72	好	12660	0.1325	30.7609
73	可	12457	0.1304	30.8913
74	后	12144	0.1271	31.0184
